A:servers,B:middlewares,C:workers,Throughput - rep1,Throughput - rep2,Throughput - rep3,Response time - rep1,Response time - rep2,Response time - rep3
2,1,8,4772.43,4688.95,4653.68,40.2233333333,40.9383333333,41.2083333333
2,1,32,9436.35,10140.45,9966.42,20.3383333333,18.9266666667,19.295
2,2,8,9079.49,9263.14,9345.22,21.16,20.9066666667,20.81
2,2,32,21230.53,21238.55,20206.53,9.045,9.03833333333,9.50333333333
3,1,8,4340.47,4143.85,4210.35,44.225,45.91,45.5916666667
3,1,32,9334.99,10151.5,9418.01,20.56,18.9066666667,20.3816666667
3,2,8,8314.66,8435.03,8367.88,23.165,22.835,23.0183333333
3,2,32,19885.09,19688.47,20744.22,9.67666666667,9.765,9.26833333333
2,1,8,4772.43,4688.95,4653.68,40.2233333333,40.9383333333,41.2083333333
2,1,32,9436.35,10140.45,9966.42,20.3383333333,18.9266666667,19.295
2,2,8,9079.49,9263.14,9345.22,21.16,20.9066666667,20.81
2,2,32,21230.53,21238.55,20206.53,9.045,9.03833333333,9.50333333333
3,1,8,4340.47,4143.85,4210.35,44.225,45.91,45.5916666667
3,1,32,9334.99,10151.5,9418.01,20.56,18.9066666667,20.3816666667
3,2,8,8314.66,8435.03,8367.88,23.165,22.835,23.0183333333
3,2,32,19885.09,19688.47,20744.22,9.67666666667,9.765,9.26833333333
