#Number of Clients,Mean Throughput [req/s] WRITE-ONLY - 8 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 8 WORKERS,Mean Response Time [s] WRITE-ONLY - 8 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 8 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 16 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 16 WORKERS,Mean Response Time [s] WRITE-ONLY - 16 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 16 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 32 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 32 WORKERS,Mean Response Time [s] WRITE-ONLY - 32 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 32 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 64 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 64 WORKERS,Mean Response Time [s] WRITE-ONLY - 64 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 64 WORKERS
2,1491.06666667,34.709561923,1.33333333333,0.0309120616517,1451.51666667,7.63756214741,1.37,0.00816496580928,1447.81,24.8055692671,1.37333333333,0.0249443825785,1440.50666667,8.03688303317,1.38,0.00816496580928
10,4517.50666667,61.1537594011,2.21,0.0282842712475,4759.2,131.098046515,2.09666666667,0.0579271573233,5087.04333333,249.08217069,1.97,0.092736184955,5417.51333333,278.539049606,1.84666666667,0.0974109279747
16,6097.48333333,221.420017814,2.62333333333,0.0946337971105,6217.06333333,413.112302434,2.56333333333,0.150628313703,6555.14666667,352.173703195,2.43666666667,0.118977121984,6742.38333333,560.546963619,2.39333333333,0.177826382245
30,7425.16666667,31.7931295863,4.03666666667,0.016996731712,8242.32333333,642.551288761,3.64666666667,0.309228430488,7884.36666667,714.690814564,3.83,0.33674916481,8297.02666667,304.014706808,3.62,0.131402688963
44,7053.47,131.19471966,6.23333333333,0.115854314647,8935.07,1004.06013538,4.98,0.534602656185,9304.47,1478.02044704,4.86333333333,0.86542218342,9641.09,960.98800329,4.59666666667,0.398357739838
56,7008.35,105.255922715,7.96333333333,0.132245562833,9358.05333333,535.851216436,5.97333333333,0.31030450994,9890.61666667,814.555581133,5.7,0.50219518118,10557.1133333,219.864165692,5.28333333333,0.0833999733546
64,6756.73666667,149.925992928,9.47333333333,0.212498366007,8680.90666667,478.629824557,7.39,0.424342628859,10241.48,918.668409638,6.29666666667,0.567587487138,9730.57333333,871.559544814,6.62666666667,0.587953134943
84,7351.44666667,192.585715,11.43,0.298105126871,9742.75666667,46.0578942443,8.62,0.0432049379894,11122.5966667,157.543994349,7.55,0.107082522695,10675.73,1320.36149354,7.86,1.33429964984
104,7103.23666667,161.497656192,14.6466666667,0.333099918276,9767.61333333,151.430584611,10.6466666667,0.163571255285,10633.9966667,1046.4123808,9.87,0.963465965495,11740.03,674.451065155,8.85,0.582656750488
128,7090.76,283.467292411,18.15,0.842179711621,9500.85,226.555018925,13.4733333333,0.32561053764,10394.8,1064.90457416,12.4466666667,1.3490819924,11493.88,785.439666019,11.13,0.915144190218
