#Clients,Mean Wait-In-Queue Time - 8 workers [ms],Std Wait-In-Queue Time - 8 workers,Mean Wait-In-Queue Time - 16 workers [ms],Std Wait-In-Queue Time - 16 workers,Mean Wait-In-Queue Time - 32 workers [ms],Std Wait-In-Queue Time - 32 workers,Mean Wait-In-Queue Time - 64 workers [ms],Std Wait-In-Queue Time - 64 workers
2.0,0.013083993476,5.76101188206e-05,0.0124897768843,0.000171986493719,0.0127569197406,0.000314720105057,0.0134199501397,0.000236010491621
10.0,0.189365897679,0.00306505317572,0.134824155974,0.0020604387236,0.13185758843,0.000699590124718,0.128023171731,0.00192003308464
16.0,0.309564380804,0.00935347687903,0.205376509269,0.00325780279505,0.195939148682,0.00688061072331,0.191439633317,0.00247536581854
30.0,1.67803307529,0.233693430844,0.397854001195,0.00665861021376,0.260762029633,0.0104469043238,0.268892653283,0.018130633018
44.0,3.0289875402,0.0246156420395,1.19385224583,0.0214859280239,0.666557344717,0.0449518209451,0.326498044506,0.0118637898091
56.0,4.35077388915,0.194175780391,2.13622927289,0.111878491066,1.20980831448,0.0808351363357,0.36710225997,0.00999999869853
64.0,5.03126327488,0.12776735542,2.85594221498,0.123010003202,1.72865915327,0.0089880508809,0.395898774543,0.0243612397249
84.0,7.5743058315,0.235145970113,4.68426137326,0.0455967593799,3.11810441252,0.179357599707,1.39434094613,0.109017500186
104.0,9.46082269661,0.525880665863,6.41890518488,0.0356669817252,4.79774249226,0.0461890568292,2.74044220038,0.0642154091991
128.0,12.1405241891,0.327428096879,8.61668420181,0.128957042322,7.02929761158,0.180658861993,4.56010868625,0.140725831436
