#Clients	MNT	WIQ	PrP	SST	PsP
2	0.0067095208	0.0138922023	0.0039856907	0.8324393997	0.0273695118
10	0.0036177775	0.0694162019	0.0024239644	0.8099795716	0.0219961516
16	0.0039547822	0.0896876484	0.0021906183	0.7821345475	0.0298469763
30	0.0036870672	0.1671000848	0.0021938803	0.9947432893	0.0478182394
44	0.0037635288	0.4529982922	0.0023557069	1.4730106512	0.0948947415
56	0.0034574679	1.1290557487	0.0018576794	1.9461556583	0.0250442197
64	0.0033755958	1.4625309353	0.0017442402	2.0045069367	0.0271727281
84	0.0031065077	2.7247329768	0.0016854838	2.1637798101	0.0327124693
104	0.0031322309	3.6883122893	0.0016504089	2.1392171447	0.0289662315
128	0.0030474392	5.8652201531	0.0016188927	2.3984342824	0.0207545974
