#Virtual Clients per Thread,Number of Worker Threads,MW1: Timestamp - rep1,MW1: Timestamp - rep2,MW1: Timestamp - rep3,MW2: Timestamp - rep1,MW2: Timestamp - rep2,MW2: Timestamp - rep3
1,8,54829473322112.0,55057482284112.0,55285177685312.0,54769509186505.0,54997527217205.0,55225204889605.0
1,16,55512537906612.0,55741325279612.0,55970292743312.0,55452596250205.0,55681333368805.0,55910335379005.0
1,32,56198242388312.0,56428698675112.0,56663057338212.0,56138291666805.0,56368737844805.0,56603116641805.0
1,64,56894001459612.0,57127872557012.0,57361611699712.0,56834049454305.0,57067905184405.0,57301649062305.0
5,8,51953591048812.0,52182324570312.0,52410978781112.0,51893625468305.0,52122335837805.0,52351022274305.0
5,16,52639679558512.0,52870078603112.0,53105584105412.0,52579678029805.0,52810135974905.0,53045630126805.0
5,32,53335635026912.0,53567674225212.0,53799297922412.0,53275647998305.0,53507709307005.0,53739337001905.0
5,64,54031002175012.0,54267973101612.0,54502928534312.0,53971029948805.0,54208015673905.0,54442977288705.0
8,8,49069044494612.0,49298798909112.0,49528655615612.0,49009093522705.0,49238833574505.0,49468681512805.0
8,16,49759874155112.0,49990096632712.0,50220958743212.0,49699911726005.0,49930111213105.0,50160969255805.0
8,32,50452495832412.0,50688148059012.0,50920738329912.0,50392500223405.0,50628191384505.0,50860799736505.0
8,64,51153197949212.0,51389935723812.0,51626291081412.0,51093219389905.0,51329955849905.0,51566308578505.0
15,8,46161201979812.0,46395418778112.0,46625432851212.0,46101193696505.0,46335435732205.0,46565445892805.0
15,16,46855738047112.0,47090481907112.0,47331229457412.0,46795764634305.0,47030482799605.0,47271270235205.0
15,32,47563186559912.0,47796963862712.0,48031596246712.0,47503202504305.0,47736995696105.0,47971560218805.0
15,64,48265130923912.0,48502805528312.0,48740087377612.0,48205140988405.0,48442836600805.0,48680106765705.0
22,8,43261039077612.0,43493327538612.0,43724148367512.0,43201062368905.0,43433312953705.0,43664189986705.0
22,16,43955270721212.0,44188886044612.0,44420651166012.0,43895269457405.0,44128908531705.0,44360693621605.0
22,32,44652272774412.0,44885801832812.0,45119633389112.0,44592273588805.0,44825822371705.0,45059646457505.0
22,64,45354641414412.0,45592188884212.0,45829642961212.0,45294640441605.0,45532183893105.0,45769658699105.0
28,8,40360102454612.0,40591344086012.0,40822850496412.0,40300123136505.0,40531355804505.0,40762862233805.0
28,16,41055313088312.0,41288413462612.0,41520489411212.0,40995311681605.0,41228441257305.0,41460501969505.0
28,32,41753317622412.0,41987226892012.0,42220995308512.0,41693308942005.0,41927208677705.0,42160994103805.0
28,64,42455322917412.0,42692679803112.0,42930222562912.0,42395384425305.0,42632668684005.0,42870239029105.0
32,8,37456663840712.0,37687845666412.0,37919662795912.0,37396647410905.0,37627835991405.0,37859655891505.0
32,16,38151270038312.0,38384303692412.0,38617157748412.0,38091256789305.0,38324278088805.0,38557176763905.0
32,32,38850066391012.0,39084190367412.0,39317985549812.0,38790055025805.0,39024183087305.0,39257988130305.0
32,64,39551419952012.0,39788088352112.0,40028785526312.0,39491427111705.0,39728067762705.0,39968786813805.0
42,8,34522258921912.0,34754133803312.0,34989357960812.0,34462228680305.0,34694102380105.0,34929355252505.0
42,16,35222986845512.0,35455443524412.0,35690175461212.0,35162960655905.0,35395434365205.0,35630174196805.0
42,32,35925688448512.0,36161498630512.0,36396648658412.0,35865675373405.0,36101494170605.0,36336644965405.0
42,64,36633296352712.0,36881069172212.0,37122429683312.0,36573282335505.0,36821031159005.0,37062434953105.0
52,8,31609610200412.0,31841345851212.0,32073494955712.0,31549564735005.0,31781305563205.0,32013448319005.0
52,16,32306196593112.0,32539237755912.0,32773780550412.0,32246144539505.0,32479188917805.0,32713782219105.0
52,32,33008056958812.0,33243817555712.0,33479645658312.0,32948031169605.0,33183830085305.0,33419635523605.0
52,64,33714492944712.0,33953832247512.0,34192514752512.0,33654489613205.0,33893814628405.0,34132528039105.0
64,8,28674794528612.0,28908548949012.0,29141398803912.0,28614770711205.0,28848509128105.0,29081384079605.0
64,16,29374135150612.0,29609165038112.0,29844463314512.0,29314127504705.0,29549138175605.0,29784440244205.0
64,32,30078757969712.0,30319154583012.0,30557575832712.0,30018737839405.0,30259113906705.0,30497541155105.0
64,64,30793623959912.0,31034611069512.0,31275603063712.0,30733611428905.0,30974596466205.0,31215559058205.0
