#Client	MNT	WIQ	PrP	SST	PsP	RspT	RespT_std
4	0.0172459074	0.0146967716	0.012191195	1.9252827664	0.0100987266	1.9900457011	0.0167232518
20	0.0146246877	0.0567033698	0.014733702	1.9380203139	0.011617972	2.0535293849	0.0106379768
32	0.0191064911	0.0686191457	0.0180444835	2.0662351397	0.0107644503	2.2011047634	0.0478364517
60	0.0212742669	0.1350952294	0.0212745503	2.4169437456	0.0116971999	2.6574173687	0.0272111589
88	0.0296795107	0.3232541576	0.0324106512	2.9528374785	0.011557611	3.4373628626	0.1315540503
112	0.0279052691	0.724309624	0.0300153132	3.3756252937	0.0114393337	4.3113934279	0.046179115
128	0.021573552	1.2570136598	0.04312882	3.4691615668	0.0116200777	4.9416278576	0.0367700976
168	0.0181907752	3.1906229609	0.0532339794	3.4734773847	0.011855238	6.8353874426	0.149316724
208	0.0233211578	5.1950626725	0.097716787	3.5326655406	0.0122975675	8.9889146477	0.1112839273
256	0.0201557527	7.6153924555	0.0758814987	3.4851348047	0.012323255	11.2909751175	0.1830655214
