#Clients,Mean Response Time - 8 workers [ms],Std Response Time - 8 workers,Mean Response Time - 16 workers [ms],Std Response Time - 16 workers,Mean Response Time - 32 workers [ms],Std Response Time - 32 workers,Mean Response Time - 64 workers [ms],Std Response Time - 64 workers
4.0,2.04203909045,0.00456250529423,2.03258316581,0.010561800523,1.99004570108,0.016723251832,2.00351860547,0.00770879494912
20.0,2.0560767296,0.00804734017483,2.04479496958,0.00483245776898,2.0535293849,0.0106379767504,2.04902020278,0.00526643990704
32.0,2.79973657959,0.0170637587985,2.19900198426,0.0751928120381,2.20110476343,0.0478364516864,2.12786189316,0.0529748386945
60.0,6.36561822285,0.0498442463011,3.14902356532,0.0641783687298,2.65741736873,0.0272111589362,2.66550664509,0.0967350839364
88.0,10.0343701028,0.0589690212992,4.3580998361,0.023921066386,3.43736286256,0.131554050293,3.49540511483,0.0269085912494
112.0,13.2023672666,0.105699300023,6.09690738255,0.118849295079,4.31139342794,0.0461791150469,4.20006302399,0.122347402255
128.0,15.1077317256,0.247765249758,6.90233460507,0.144263621493,4.94162785756,0.0367700975656,4.32682775917,0.104021439576
168.0,20.5059255775,0.0829688663835,9.97959328076,0.0733151601926,6.83538744257,0.149316723977,5.26265549542,0.063249465648
208.0,25.4035069628,0.385379140152,12.6260577181,0.169385496716,8.98891464765,0.11128392729,5.99269482422,0.0914028932312
256.0,32.9034166251,0.122202640832,16.0573739834,0.0635630030902,11.2909751175,0.183065521422,7.68375988456,0.110578434393
