#Clients,Mean Server Service Time - 8 workers [ms],Std Server Service Time - 8 workers,Mean Server Service Time - 16 workers [ms],Std Server Service Time - 16 workers,Mean Server Service Time - 32 workers [ms],Std Server Service Time - 32 workers,Mean Server Service Time - 64 workers [ms],Std Server Service Time - 64 workers
4.0,1.97723187972,0.00287041898221,1.96874970678,0.0105692111973,1.92528276639,0.015782275284,1.940663617,0.00561817601541
20.0,1.91972446256,0.00387137097234,1.93596260015,0.00605904858657,1.93802031393,0.0088496134597,1.93438806322,0.00438758511994
32.0,1.95072685645,0.0126507135831,2.06904965704,0.0688018545669,2.06623513971,0.0380961202316,1.99435086808,0.0550176378205
60.0,2.06849056429,0.0155710211714,2.3615288266,0.0624833028646,2.41694374564,0.0238938805645,2.4234509869,0.0800451189577
88.0,2.06549139514,0.0144589716855,2.10921536297,0.0122457766654,2.95283747854,0.130412660838,3.17250557632,0.0399984501563
112.0,2.0821225328,0.0132001822764,2.1466761492,0.0240458603855,3.37562529371,0.0868975165286,3.81987781314,0.146309912176
128.0,2.04954469468,0.0312743928596,2.10901543924,0.0313152505862,3.46916156682,0.0106746588106,3.92518302918,0.107286732752
168.0,2.06655335757,0.0126634827451,2.16644703946,0.014810712541,3.47347738473,0.0452775461213,4.51373489924,0.0578008527404
208.0,2.04508491426,0.0301741512025,2.15722451,0.0241703639041,3.53266554055,0.0375189834949,4.81879926417,0.050138779844
256.0,2.12181690545,0.012389679778,2.1713894406,0.0110094745392,3.48513480471,0.0683788268535,5.25597814929,0.117490838649
