#Clients,Mean Pre-Processing Time - 8 workers [ms],Std Pre-Processing Time - 8 workers,Mean Pre-Processing Time - 16 workers [ms],Std Pre-Processing Time - 16 workers,Mean Pre-Processing Time - 32 workers [ms],Std Pre-Processing Time - 32 workers,Mean Pre-Processing Time - 64 workers [ms],Std Pre-Processing Time - 64 workers
4.0,0.0120707618825,0.000112219165933,0.0124650608695,0.000369180627243,0.0121911949877,0.00045817197171,0.0128829558984,0.000279992597178
20.0,0.0131062775288,0.000473394007613,0.0153636508959,0.00110729572361,0.0147337019571,0.000772677840705,0.0145816997635,0.000389459181717
32.0,0.0137895956491,0.00159521442805,0.0164625706978,0.00165507783485,0.0180444835057,0.00435909805493,0.0156772355836,0.00104070598942
60.0,0.0156766132202,0.00122456342317,0.0333590080527,0.00842562528813,0.0212745502567,0.00256450899411,0.0238408854247,0.00592051789884
88.0,0.0164193723618,0.00244762952595,0.023837654029,0.00285724218156,0.0324106512309,0.0081697404734,0.0327128118639,0.00348715946324
112.0,0.0177903414295,0.00176544040128,0.0293386372197,0.0122696403024,0.0300153131585,0.00167157408899,0.0345244063921,0.0111189552627
128.0,0.0174187657984,0.00524148629155,0.0210667872687,0.00541410791604,0.0431288200447,0.0119271084843,0.0379496474769,0.00806641525041
168.0,0.0154970551163,0.00311789216535,0.0327342638435,0.00801258794767,0.0532339793537,0.0193408710276,0.0260110726539,0.00397375235865
208.0,0.0156535100141,0.00208914814378,0.0228492839873,0.00426584655266,0.0977167869778,0.0312473264522,0.0590341670891,0.0152128305729
256.0,0.0179019953407,0.00353808755442,0.028194988992,0.0117365307041,0.0758814986573,0.044151945903,0.113740296816,0.0737479832072
