Number of Clients,Average Throughput READ-ONLY,Std Dev Throughput READ-ONLY,Average Response Time READ-ONLY,Std Dev Response Time READ-ONLY,Average Throughput WRITE-ONLY,Std Dev Throughput WRITE-ONLY,Average Response Time WRITE-ONLY,Std Dev Response Time WRITE-ONLY
6,5365.86333333,193.569825185,1.74222222222,0.0134256066373,5505.9,175.068677381,1.72666666667,0.01186342028
30,11133.9,5.74451622564,3.62333333333,0.141447542953,18186.01,183.7443171,2.10222222222,0.0134256066373
48,11182.9,66.6054011824,5.42333333333,0.0276217842103,19555.83,144.045872555,3.00777777778,0.0412160822022
84,11143.9666667,5.17302189784,9.54444444444,0.0583941481932,23542.0233333,144.813428552,4.31111111111,0.0329234053112
114,11146.2166667,3.25941030795,12.1833333333,0.0581823442737,26832.8033333,293.967005216,5.02,0.0124721912892
138,11191.54,43.4735099419,13.2844444444,0.00314269680527,28528.3566667,155.353027292,5.86222222222,0.0221665970481
168,11157.1766667,94.3568719749,15.0877777778,0.0109994388185,30573.75,213.499543793,6.57777777778,0.137849443727
192,11077.88,117.840321622,17.3966666667,0.257351179577,30751.8066667,236.118728092,7.29666666667,0.00720082299823
252,11210.6833333,43.1388319525,22.6155555556,0.0371516744384,33142.78,46.8087256823,8.29444444444,0.0134256066373
312,11136.42,9.62418135047,28.3288888889,0.0283278861866,33984.9633333,42.0760742254,9.30666666667,0.00272165526976
384,11119.7566667,9.58763207935,35.05,0.0272165526976,33307.69,80.2073691544,11.7122222222,0.0219988776369
