Number of Clients,Average Throughput READ-ONLY,,Std Dev Throughput READ-ONLY,Average Response Time READ-ONLY,,Std Dev Response Time READ-ONLY,Average Throughput WRITE-ONLY,,Std Dev Throughput WRITE-ONLY,Average Response Time WRITE-ONLY,,Std Dev Response Time WRITE-ONLY
6,5365.86333333,,193.569825185,1.7422222222,,0.0134256066,5505.9,,175.068677381,1.7266666667,,0.0118634203
30,11133.9,107.50%,5.7445162256,3.6233333333,107.97%,0.141447543,18186.01,230.30%,183.7443171,2.1022222222,21.75%,0.0134256066
48,11182.9,0.44%,66.6054011824,5.4233333333,49.68%,0.0276217842,19555.83,7.53%,144.045872555,3.0077777778,43.08%,0.0412160822
84,11143.9666667,-0.35%,5.1730218978,9.5444444444,75.99%,0.0583941482,23542.0233333,20.38%,144.813428552,4.3111111111,43.33%,0.0329234053
114,11146.2166667,0.02%,3.259410308,12.1833333333,27.65%,0.0581823443,26832.8033333,13.98%,293.967005216,5.02,16.44%,0.0124721913
138,11191.54,0.41%,43.4735099419,13.2844444444,9.04%,0.0031426968,28528.3566667,6.32%,155.353027292,5.8622222222,16.78%,0.022166597
168,11157.1766667,-0.31%,94.3568719749,15.0877777778,13.57%,0.0109994388,30573.75,7.17%,213.499543793,6.5777777778,12.21%,0.1378494437
192,11077.88,-0.71%,117.840321622,17.3966666667,15.30%,0.2573511796,30751.8066667,0.58%,236.118728092,7.2966666667,10.93%,0.007200823
252,11210.6833333,1.20%,43.1388319525,22.6155555556,30.00%,0.0371516744,33142.78,7.78%,46.8087256823,8.2944444444,13.67%,0.0134256066
312,11136.42,-0.66%,9.6241813505,28.3288888889,25.26%,0.0283278862,33984.9633333,2.54%,42.0760742254,9.3066666667,12.20%,0.0027216553
384,11119.7566667,-0.15%,9.5876320794,35.05,23.73%,0.0272165527,33307.69,-1.99%,80.2073691544,11.7122222222,25.85%,0.0219988776
,,,,,,,,,,,,
,,,,,30.02%,,,,,,,
,,,,,,,,501.95%,,,439.00%,
,,,,,,,,,,,,
,,,,,,,,0.27%,,,19.03%,
