#Clients	Mean User CPU - WRITE-ONLY	Std User CPU - WRITE-ONLY	Mean System CPU - WRITE-ONLY	Std System CPU - WRITE-ONLY	Mean Net-Received - WRITE-ONLY	Std Net-Received - WRITE-ONLY	Mean Net-Sent - WRITE-ONLY	Std Net-Sent - WRITE-ONLY	Mean Context Switches - WRITE-ONLY	Std Context Switches - WRITE-ONLY
6	1.3584910051	0.032506234469	2.10808654331	0.0372640335328	1826.98879165	14.3893938173	120.80707085	0.934117390237	1662.03933247	23.1053918513
30	3.04187435897	0.0972721729933	4.56093247863	0.137762892544	6496.28776876	204.159137805	428.665434696	13.4626305636	4123.70211709	106.157498431
48	3.03502051282	0.111868327863	4.54079059829	0.157951384514	6724.47680956	197.096694952	443.661031818	12.9919929675	3697.70802735	113.609911831
90	3.11626666667	0.0700420196039	4.71811025641	0.109505743457	7643.1329811	142.470792044	504.282573785	9.41204921997	3307.16446752	36.9452849526
132	3.10020683761	0.0986479073166	4.7553	0.125997099636	7713.89752771	191.66562429	508.931027143	12.6566810536	3347.04137265	37.5074454326
168	2.98450512821	0.0563847099497	4.59705128205	0.0658125054146	7435.2546441	65.1813160013	490.577815338	4.27513522132	3222.70490256	80.3980328878
192	3.06445008721	0.0541652829476	4.77810489709	0.0748970678871	7732.58347416	70.7711050022	510.149404519	4.67356123101	3270.87434538	36.759667451
252	3.21452905983	0.0959278428034	4.95195213675	0.150141265562	8102.39994742	195.26765326	534.548478399	12.8764451745	3644.34061966	197.905075642
312	3.28144365499	0.0303345510216	5.03758826907	0.034921113018	8237.47723238	114.870262512	543.461321836	7.59043639548	3767.49940021	133.220121923
384	3.18197795908	0.107759330852	4.85271687387	0.15682053803	7979.07859107	386.106485372	526.423221055	25.454946611	3593.31832521	110.890868548
