Number of Clients,Mean Throughput [req/s] WRITE-ONLY - 8 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 8 WORKERS,Mean Response Time [s] WRITE-ONLY - 8 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 8 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 16 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 16 WORKERS,Mean Response Time [s] WRITE-ONLY - 16 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 16 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 32 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 32 WORKERS,Mean Response Time [s] WRITE-ONLY - 32 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 32 WORKERS,Mean Throughput [req/s] WRITE-ONLY - 64 WORKERS,Std Dev Throughput [req/s] WRITE-ONLY - 64 WORKERS,Mean Response Time [s] WRITE-ONLY - 64 WORKERS,Std Dev Response Time [s] WRITE-ONLY - 64 WORKERS
6,2479.36666667,18.9827243098,2.41333333333,2.41333333333,2417.26333333,17.0977782832,2.47611111111,2.47611111111,2402.48666667,6.07706252139,2.48944444444,2.48944444444,2400.87333333,10.91474945,2.49277777778,2.49277777778
30,7242.34666667,204.881997637,4.14944444444,4.14944444444,8559.88333333,269.084944003,3.50777777778,3.50777777778,8166.46,459.731325232,3.695,3.695,8161.17,107.608100996,3.69555555556,3.69555555556
48,7232.31666667,59.047768986,6.63722222222,6.63722222222,8957.2,264.378400152,5.44388888889,5.44388888889,8995.39,373.616072816,5.35111111111,5.35111111111,9160.43666667,162.307289081,5.21944444444,5.21944444444
90,7264.23,58.7869276852,12.3572222222,12.3572222222,10107.5266667,166.399463407,9.05333333333,9.05333333333,11551.0533333,50.5497143634,7.80111111111,7.80111111111,11535.89,506.256915278,7.81444444444,7.81444444444
132,7180.55,93.2403714421,18.3933333333,18.3933333333,10125.12,272.080553268,13.2494444444,13.2494444444,12066.8,578.075107635,10.9277777778,10.9277777778,13512.5733333,157.717272851,9.745,9.745
168,7224.66,43.162692996,23.2394444444,23.2394444444,9794.74666667,87.7490213937,17.2433333333,17.2433333333,12153.5033333,624.410658159,13.89,13.89,13927.8666667,174.391851938,12.1238888889,12.1238888889
192,7213.92333333,17.5539821376,26.6211111111,26.6211111111,10203.5433333,107.873404301,18.9194444444,18.9194444444,11996.3533333,330.795996079,15.9972222222,15.9972222222,14120.8166667,307.673084223,13.5927777778,13.5927777778
252,7319.20333333,19.1717228114,34.4611111111,34.4611111111,10701.3333333,232.284506204,23.63,23.63,12111.4066667,522.71354439,20.9105555556,20.9105555556,14835.66,539.873744932,17.0794444444,17.0794444444
312,7153.16,107.770342241,43.645,43.645,10878.0,181.852899528,28.7344444444,28.7344444444,13041.78,164.449924901,23.9433333333,23.9433333333,14701.1133333,103.883968071,21.275,21.275
384,6821.01333333,710.729730457,57.0266666667,57.0266666667,10543.7266667,510.585791181,36.7016666667,36.7016666667,10679.9066667,2645.60943736,38.9638888889,38.9638888889,14859.88,302.726806323,25.8911111111,25.8911111111
